Time,HR,RR,RMSSD,DFA_alpha1,MeanRRi,SD1,SD2,HF_power,VLF_power,TrueStage
0,76.8168,19.2,39.227,0.6759,781.0788,27.9231,34.5051,858.9302,27.2079,0
5,77.2097,19.2,38.7431,0.9051,777.1048,27.5776,36.2808,987.034,25.5626,0
10,77.4686,19.2,38.8759,0.8218,774.5074,27.6725,37.0393,1000.4888,33.5773,0
15,77.9869,19.2,38.3509,1.0047,769.3598,27.2963,36.9516,891.4497,33.6736,0
20,78.5118,19.3,38.7442,0.8784,764.216,27.5741,38.0942,708.4063,34.9403,0
25,79.5689,19.3,38.341,1.0171,754.0633,27.2878,38.3262,522.4722,17.7064,0
30,80.2473,19.3,37.2192,0.7263,747.6883,26.4863,36.0523,386.0518,17.3661,0
35,81.0364,19.4,36.4903,0.9144,740.4082,25.967,35.435,310.4244,26.3483,0
40,81.9234,19.4,30.0588,0.9617,732.3911,21.388,31.1454,277.4117,55.6408,0
45,82.4258,19.4,29.605,0.9179,727.9276,21.0689,29.5143,264.3552,59.2603,0
50,82.8696,19.6,26.6156,0.9971,724.0293,18.9362,29.2899,250.1854,55.3479,0
55,83.4382,19.6,25.4845,0.9918,719.0952,18.1321,28.5097,224.7805,47.068,0
60,84.2683,19.4,24.4839,0.9607,712.0119,17.4217,27.1416,196.7123,24.3747,0
65,84.8303,19.4,24.4337,0.86,707.2941,17.3817,24.8512,182.2979,21.6564,0
70,86.033,19.4,23.7057,0.8513,697.407,16.8643,28.1067,189.4803,9.683,0
75,86.5169,19.6,23.1925,0.9871,693.5057,16.4962,30.0622,211.5861,8.7041,0
80,87.4929,19.6,23.3879,0.8258,685.7701,16.6358,28.7869,233.5657,25.4845,0
85,87.8346,19.6,24.0561,1.0467,683.1023,17.1089,27.3956,243.9727,29.4378,0
90,88.3416,19.9,24.1949,0.9958,679.1818,17.2115,26.9701,242.3663,41.8253,0
95,89.159,19.9,24.4151,0.9076,672.9551,17.3636,27.2293,235.9924,46.0685,0
100,89.7651,19.9,25.1908,0.8959,668.4111,17.9153,27.4697,231.5502,50.6253,0
105,90.2226,20.9,26.0279,0.8388,665.022,18.5128,28.2204,231.2308,47.936,0
110,91.1961,20.9,25.7575,0.9713,657.9231,18.3199,29.7063,235.9814,50.755,0
115,91.58,20.9,26.717,0.8415,655.1648,19.0036,31.5836,249.0479,35.156,0
120,91.7889,21.0,27.4509,1.0211,653.6739,19.5186,33.9956,273.4663,23.3878,0
125,92.3463,21.0,27.6342,0.9152,649.7283,19.6567,33.0851,310.6504,10.5035,0
130,92.6387,21.0,27.6189,0.8801,647.6774,19.6365,30.7801,355.7535,14.2296,0
135,93.5582,21.0,27.7512,0.7051,641.3118,19.7306,28.5968,394.6576,13.0873,0
140,93.9296,21.0,27.1488,0.7265,638.7766,19.3022,29.009,409.4107,22.6832,0
145,94.7119,21.0,26.8115,0.7549,633.5,19.0617,28.8799,391.874,34.7071,0
150,95.5414,21.1,26.4665,0.7545,628.0,18.8158,28.6257,351.4759,42.764,0
155,96.0496,21.1,25.3879,0.8376,624.6771,18.0483,28.1077,307.5965,41.898,0
160,96.8902,21.2,24.2724,0.8172,619.2577,17.2534,27.4822,273.662,37.5192,0
165,97.9592,21.2,23.5227,0.6012,612.5,16.7198,26.6653,247.1443,31.2691,0
170,98.4446,21.2,22.3283,0.9617,609.4796,15.8706,24.3613,216.3908,21.61,0
175,99.5124,21.2,20.3537,0.7007,602.94,14.4724,20.4045,178.0374,13.3569,0
180,100.7934,21.2,18.4851,0.5657,595.2772,13.1419,18.3654,143.348,8.5799,0
185,101.4488,21.2,17.7399,0.5946,591.4314,12.6074,18.8066,122.4718,4.0393,0
190,102.0595,21.3,16.7026,0.6782,587.8922,11.8698,17.7448,113.7528,10.1629,0
195,103.5015,21.3,15.1654,0.7314,579.7019,10.776,19.1932,107.0668,6.2028,0
200,104.679,21.3,13.1901,0.9439,573.181,9.3741,17.4682,95.0516,14.603,0
205,105.38,21.4,12.0077,1.0616,569.3679,8.532,17.145,78.9856,26.0927,0
210,106.0177,21.4,11.2512,0.9654,565.9434,7.9948,17.4835,64.1151,41.4864,0
215,105.9788,21.4,13.1153,0.8142,566.1509,9.3189,21.0307,53.9709,40.399,0
220,105.8571,21.6,13.2217,1.0229,566.8019,9.3953,22.0246,49.8687,45.2111,0
225,106.2515,21.6,12.1945,1.1284,564.6981,8.6671,23.3553,54.9224,40.4024,0
230,106.4182,21.6,11.7285,1.0759,563.8131,8.3329,23.2504,72.3391,40.816,0
235,106.625,21.7,11.7019,1.4581,562.7196,8.3148,23.0483,96.9493,44.087,0
240,107.1429,21.7,11.2787,1.5186,560.0,8.0139,21.991,115.0481,42.4311,0
245,108.0991,21.9,10.7775,1.0826,555.0463,7.6571,21.1962,114.2656,43.3026,0
250,109.0127,21.9,10.3295,0.9785,550.3945,7.3389,20.5999,93.6196,40.7814,0
255,109.3737,21.9,10.2295,1.3447,548.578,7.2675,19.1449,63.7864,23.0943,0
260,110.3347,21.5,9.9837,1.5324,543.8,7.0934,18.9896,38.4717,13.7665,0
265,111.4365,21.5,10.1617,0.9316,538.4234,7.221,20.374,23.9687,6.9317,0
270,112.2807,21.5,9.9435,1.1586,534.375,7.0643,18.951,18.2899,6.5096,0
275,113.9449,21.4,6.9292,1.5091,526.5702,4.9224,15.3023,18.5774,1.696,0
280,115.5489,21.4,6.2377,1.4925,519.2609,4.4307,13.7829,24.3164,0.8209,0
285,116.6423,21.3,5.6954,1.1643,514.3932,4.0448,10.3669,33.0403,2.5545,0
290,118.1024,21.3,5.5323,0.9792,508.0339,3.9293,10.0137,39.2814,1.9395,1
295,119.4539,21.3,5.2529,1.2487,502.2857,3.7303,9.8573,38.6832,2.145,1
300,120.6341,21.6,5.1142,1.4729,497.3719,3.6314,9.8183,31.2509,2.1739,1
305,121.7243,21.6,5.0824,1.1249,492.9174,3.6089,9.7903,21.177,1.7887,1
310,122.5201,21.6,5.0411,1.3666,489.7154,3.5794,9.6669,13.3159,0.6988,1
315,123.6394,22.0,4.9773,1.404,485.2823,3.5341,9.4141,9.7062,0.5094,1
320,124.5247,22.0,4.9043,1.7744,481.832,3.4835,9.1163,8.9373,0.3051,1
325,125.4189,21.6,4.1025,0.8194,478.3968,2.9129,5.2753,8.8252,0.3683,1
330,126.3598,21.6,4.0538,0.8138,474.8346,2.8781,5.2421,8.757,0.5445,1
335,127.3484,21.6,4.1175,0.7504,471.1484,2.9231,5.2059,8.7569,0.9353,1
340,128.5223,21.6,4.0871,0.7884,466.845,2.9016,4.9656,8.8442,1.3122,1
345,129.6656,21.3,4.1184,0.8367,462.7287,2.9236,4.991,8.9705,1.8474,1
350,130.8931,21.3,4.1751,0.7708,458.3893,2.9637,4.9399,9.0667,2.0942,1
355,132.0528,21.3,4.0872,0.7656,454.3636,2.9011,5.0837,9.0726,2.1997,1
360,133.1509,21.4,4.073,0.7258,450.6165,2.8918,5.0869,8.9463,1.9034,1
365,134.0793,21.4,4.0524,0.6635,447.4963,2.8764,5.0003,8.6505,1.4438,1
370,135.1306,21.4,3.9676,0.627,444.0148,2.816,4.6694,8.1818,1.4025,1
375,135.9615,21.4,3.9584,0.7319,441.3015,2.8098,4.614,7.6639,1.3664,1
380,136.6445,21.4,4.0079,0.6148,439.0956,2.8446,4.4355,7.3209,1.732,1
385,137.4835,21.3,4.003,0.6317,436.4161,2.841,4.7892,7.3223,1.3926,1
390,138.2742,21.3,3.9816,0.6401,433.9203,2.8261,4.6141,7.6049,1.338,1
395,138.726,21.3,3.9094,0.6762,432.5072,2.7751,5.0075,7.9566,0.8477,1
400,139.1995,21.2,3.9396,0.6418,431.036,2.7961,5.0744,8.1631,0.8158,1
405,139.8089,21.2,3.8952,0.6804,429.1571,2.7643,5.0857,8.1811,1.1313,1
410,140.3016,21.2,3.7927,0.7539,427.65,2.6916,5.0767,8.1122,1.9463,1
415,140.7818,21.2,3.8916,0.6105,426.1915,2.7619,4.8744,8.1022,2.8156,1
420,141.5353,21.2,3.8348,0.6743,423.9225,2.7213,4.876,8.2195,3.6345,1
425,141.9834,21.2,3.8126,0.7501,422.5845,2.7056,5.0187,8.4017,3.523,1
430,142.3901,21.3,3.8274,0.7697,421.3776,2.7162,5.1076,8.5275,2.9578,1
435,142.8381,21.3,3.7857,0.8074,420.0559,2.6864,5.0532,8.4571,2.3322,1
440,143.2646,21.3,3.8009,0.7647,418.8056,2.6972,4.9336,8.0897,1.5295,1
445,143.4382,22.0,3.7403,0.6913,418.2986,2.6542,4.6516,7.4413,1.6997,1
450,143.8011,22.0,3.7029,0.6002,417.2431,2.6279,4.5077,6.6942,1.5955,1
455,144.5159,22.0,3.6415,0.7359,415.1793,2.5843,4.1005,6.0763,0.725,1
460,145.2544,22.2,3.5886,0.6706,413.0685,2.5465,4.0198,5.7085,0.8319,1
465,145.8104,22.2,3.585,0.6993,411.4932,2.5439,3.9274,5.5312,1.0534,1
470,146.4241,22.2,3.5666,0.607,409.7687,2.5306,3.8527,5.4067,1.4085,1
475,147.0539,22.2,3.4187,0.6633,408.0136,2.4259,3.8103,5.2635,1.6867,1
480,147.6966,22.2,3.3099,0.628,406.2381,2.3485,3.6932,5.1308,1.5136,1
485,148.3965,22.1,3.3086,0.6752,404.3221,2.3475,3.5609,5.0672,1.1416,1
490,149.0745,22.1,3.377,0.5796,402.4832,2.3961,3.4499,5.0545,0.6817,1
495,149.6209,22.1,3.3535,0.5021,401.0134,2.3798,3.4961,5.079,0.8327,1
500,150.3433,22.2,3.5618,0.5205,399.0867,2.5276,3.4932,5.158,0.9631,1
505,151.295,22.2,3.523,0.5689,396.5762,2.4996,3.9994,5.3072,0.9472,1
510,151.9797,22.2,3.5301,0.6019,394.7895,2.5045,3.9905,5.512,1.8671,1
515,152.1824,22.6,3.6026,0.5349,394.2637,2.5559,5.2853,5.7301,2.2438,1
520,152.6026,22.6,3.4916,0.7736,393.1782,2.4772,5.2223,5.9813,3.0504,1
525,153.1223,22.5,3.424,0.8236,391.8437,2.4292,5.186,6.4261,3.9339,1
530,153.7307,22.5,3.4711,0.9541,390.2928,2.4625,5.1651,7.0841,4.6668,1
535,154.3592,22.4,3.5095,0.8562,388.7038,2.4898,5.1259,7.6533,5.0714,1
540,155.1259,22.4,3.4998,0.9194,386.7826,2.4828,5.0709,7.7129,4.8041,1
545,155.9842,22.4,3.608,0.9265,384.6544,2.5596,4.9849,7.0867,3.966,1
550,156.9553,22.7,3.5247,0.7325,382.2745,2.5004,4.9266,6.0334,2.8561,1
555,158.0174,22.7,3.5011,0.8016,379.705,2.4835,4.7976,5.0528,1.7556,1
560,158.8594,22.7,3.3351,0.882,377.6924,2.3661,4.7613,4.529,0.7765,1
565,159.6698,22.1,3.3432,0.8646,375.7756,2.3715,4.269,4.4968,1.1053,2
570,160.8041,22.1,3.2811,0.6358,373.1248,2.3275,4.0888,4.6792,0.9332,2
575,162.2402,22.4,3.2212,0.4,369.8221,2.2848,2.4502,4.7966,0.2986,2
580,163.4063,22.4,3.2912,0.3069,367.1829,2.3345,2.4631,4.7517,0.4522,2
585,164.4218,22.4,3.2871,0.4397,364.9152,2.3316,2.4748,4.5528,0.6104,2
590,165.2948,22.5,3.2254,0.3756,362.9879,2.2877,2.5392,4.2981,0.6721,2
595,165.9806,22.5,3.1426,0.3858,361.488,2.229,2.4419,4.1127,0.6748,2
600,166.6416,22.5,3.1487,0.4191,360.0542,2.2333,2.3788,4.0368,0.7137,2
605,167.364,22.7,2.9416,0.3914,358.5,2.0863,2.4024,3.9939,0.6391,2
610,168.0644,22.7,2.8611,0.3637,357.006,2.0292,2.3815,3.8812,0.5497,2
615,168.7905,22.7,2.8965,0.3597,355.4702,2.0544,2.2996,3.6662,0.4172,2
620,169.6833,22.4,2.8048,0.3376,353.6,1.9892,2.1835,3.3993,0.2964,2
625,170.5258,22.4,2.7947,0.4123,351.8529,1.982,2.13,3.1866,0.2533,2
630,171.2712,22.4,2.7043,0.4206,350.3216,1.9179,2.0916,3.1009,0.1335,2
635,171.9169,22.4,2.6155,0.4247,349.0058,1.8549,2.0063,3.1219,0.0572,2
640,172.5608,22.4,2.6082,0.4185,347.7035,1.8497,1.9644,3.1509,0.0984,2
645,173.3004,22.4,2.601,0.33,346.2197,1.8445,1.9188,3.0846,0.1329,2
650,174.1277,22.4,2.5882,0.3635,344.5747,1.8355,1.8242,2.9039,0.1406,2
655,174.8718,22.6,2.6449,0.3656,343.1086,1.8756,1.8273,2.6953,0.1688,2
660,175.564,22.6,2.5707,0.3403,341.7557,1.823,1.8018,2.5746,0.1544,2
665,176.2173,22.8,2.5424,0.3042,340.4886,1.803,1.7293,2.5872,0.1139,2
670,176.8261,22.8,2.4894,0.3004,339.3164,1.7653,1.8814,2.6572,0.1893,2
675,177.062,22.9,2.4394,0.3103,338.8644,1.7299,1.9278,2.6462,0.1975,2
680,176.9528,22.9,2.4009,0.3751,339.0734,1.7025,1.8814,2.4874,0.2384,2
