Time,HR,TrueStage,PredStage
0,76.8168,0,0
5,77.2097,0,0
10,77.4686,0,0
15,77.9869,0,0
20,78.5118,0,0
25,79.5689,0,0
30,80.2473,0,0
35,81.0364,0,0
40,81.9234,0,0
45,82.4258,0,0
50,82.8696,0,0
55,83.4382,0,0
60,84.2683,0,0
65,84.8303,0,0
70,86.033,0,0
75,86.5169,0,0
80,87.4929,0,0
85,87.8346,0,0
90,88.3416,0,0
95,89.159,0,0
100,89.7651,0,0
105,90.2226,0,0
110,91.1961,0,0
115,91.58,0,0
120,91.7889,0,0
125,92.3463,0,0
130,92.6387,0,0
135,93.5582,0,0
140,93.9296,0,0
145,94.7119,0,0
150,95.5414,0,0
155,96.0496,0,0
160,96.8902,0,0
165,97.9592,0,0
170,98.4446,0,0
175,99.5124,0,0
180,100.7934,0,0
185,101.4488,0,0
190,102.0595,0,0
195,103.5015,0,0
200,104.679,0,0
205,105.38,0,0
210,106.0177,0,0
215,105.9788,0,0
220,105.8571,0,0
225,106.2515,0,0
230,106.4182,0,0
235,106.625,0,0
240,107.1429,0,0
245,108.0991,0,0
250,109.0127,0,0
255,109.3737,0,0
260,110.3347,0,0
265,111.4365,0,0
270,112.2807,0,0
275,113.9449,0,0
280,115.5489,0,0
285,116.6423,0,0
290,118.1024,1,0
295,119.4539,1,1
300,120.6341,1,1
305,121.7243,1,1
310,122.5201,1,1
315,123.6394,1,1
320,124.5247,1,1
325,125.4189,1,1
330,126.3598,1,1
335,127.3484,1,1
340,128.5223,1,1
345,129.6656,1,1
350,130.8931,1,1
355,132.0528,1,1
360,133.1509,1,1
365,134.0793,1,1
370,135.1306,1,1
375,135.9615,1,1
380,136.6445,1,1
385,137.4835,1,1
390,138.2742,1,1
395,138.726,1,1
400,139.1995,1,1
405,139.8089,1,1
410,140.3016,1,1
415,140.7818,1,1
420,141.5353,1,1
425,141.9834,1,1
430,142.3901,1,1
435,142.8381,1,1
440,143.2646,1,1
445,143.4382,1,1
450,143.8011,1,1
455,144.5159,1,1
460,145.2544,1,1
465,145.8104,1,1
470,146.4241,1,1
475,147.0539,1,1
480,147.6966,1,1
485,148.3965,1,1
490,149.0745,1,1
495,149.6209,1,1
500,150.3433,1,1
505,151.295,1,1
510,151.9797,1,1
515,152.1824,1,1
520,152.6026,1,1
525,153.1223,1,1
530,153.7307,1,1
535,154.3592,1,1
540,155.1259,1,1
545,155.9842,1,1
550,156.9553,1,1
555,158.0174,1,1
560,158.8594,1,1
565,159.6698,2,1
570,160.8041,2,2
575,162.2402,2,2
580,163.4063,2,2
585,164.4218,2,2
590,165.2948,2,2
595,165.9806,2,2
600,166.6416,2,2
605,167.364,2,2
610,168.0644,2,2
615,168.7905,2,2
620,169.6833,2,2
625,170.5258,2,2
630,171.2712,2,2
635,171.9169,2,2
640,172.5608,2,2
645,173.3004,2,2
650,174.1277,2,2
655,174.8718,2,2
660,175.564,2,2
665,176.2173,2,2
670,176.8261,2,2
675,177.062,2,2
680,176.9528,2,2
